age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,race_binary,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,race_Caucasian,c_charge_degree_(CT),c_charge_degree_(F1),c_charge_degree_(F2),c_charge_degree_(F3),c_charge_degree_(F5),c_charge_degree_(F6),c_charge_degree_(F7),c_charge_degree_(M1),c_charge_degree_(M2),c_charge_degree_(MO3),c_charge_degree_(NI0),c_charge_degree_(X)
34,0,0,0,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,0,0,1,4,1,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
23,0,1,0,1,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
41,0,0,0,14,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
39,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
20,0,0,1,0,0,1,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
26,0,0,0,0,0,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
21,0,0,0,1,1,1,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
27,0,0,0,0,0,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
23,0,0,0,3,1,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
37,0,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
22,0,0,0,0,0,1,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
41,0,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47,0,0,0,1,1,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,7,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0,0,0,3,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,6,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
31,0,0,0,5,1,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
