Model,Group,TN,FP,FN,TP,False Positive Rate,False Negative Rate,True Positive Rate,True Negative Rate,Selection Rate
Logistic Regression,African-American,426,97,214,152,0.18546845124282982,0.5846994535519126,0.41530054644808745,0.8145315487571702,0.28008998875140606
Logistic Regression,Caucasian,341,27,168,29,0.07336956521739131,0.8527918781725888,0.14720812182741116,0.9266304347826086,0.09911504424778761
Decision Tree,African-American,466,57,267,99,0.1089866156787763,0.7295081967213115,0.27049180327868855,0.8910133843212237,0.17547806524184478
Decision Tree,Caucasian,348,20,167,30,0.05434782608695652,0.8477157360406091,0.15228426395939088,0.9456521739130435,0.08849557522123894
Random Forest,African-American,422,101,221,145,0.1931166347992352,0.6038251366120219,0.39617486338797814,0.8068833652007649,0.27671541057367827
Random Forest,Caucasian,350,18,168,29,0.04891304347826087,0.8527918781725888,0.14720812182741116,0.9510869565217391,0.0831858407079646
Gradient Boosting,African-American,403,120,202,164,0.2294455066921606,0.5519125683060109,0.44808743169398907,0.7705544933078394,0.3194600674915636
Gradient Boosting,Caucasian,335,33,158,39,0.08967391304347826,0.8020304568527918,0.19796954314720813,0.9103260869565217,0.12743362831858407
Support Vector Machine,African-American,433,90,243,123,0.17208413001912046,0.6639344262295082,0.3360655737704918,0.8279158699808795,0.23959505061867267
Support Vector Machine,Caucasian,352,16,173,24,0.043478260869565216,0.8781725888324873,0.1218274111675127,0.9565217391304348,0.07079646017699115
