age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,race_binary,age_cat_ordinal,c_charge_degree_ordinal,sex_Male,race_Caucasian
34,0,0,0,0,1,0,1,2,True,False
24,0,0,1,4,1,0,0,2,True,False
23,0,1,0,1,0,0,0,2,True,False
41,0,0,0,14,1,1,1,2,True,True
39,0,0,0,0,0,1,1,1,False,True
20,0,0,1,0,0,1,0,2,True,True
26,0,0,0,0,0,1,1,2,False,True
21,0,0,0,1,1,1,0,2,True,True
27,0,0,0,0,0,1,1,2,True,True
23,0,0,0,3,1,0,0,1,True,False
37,0,0,0,0,0,1,1,1,False,True
22,0,0,0,0,0,1,0,1,True,True
41,0,0,0,0,0,0,1,2,True,False
47,0,0,0,1,1,1,2,2,False,True
31,0,0,0,7,1,0,1,2,True,False
25,0,0,0,3,0,0,1,2,True,False
31,0,0,0,6,1,1,1,2,True,True
31,0,0,0,5,1,1,1,2,True,True
64,0,0,0,13,1,0,2,2,True,False
21,0,0,0,1,1,0,0,2,True,False
27,0,0,0,0,1,1,1,1,True,True
21,0,0,0,0,0,1,0,2,False,True
42,0,0,0,1,0,1,1,2,True,True
43,0,0,0,1,0,1,1,1,True,True
54,0,0,0,0,0,0,2,2,False,False
44,0,0,0,8,0,0,1,1,True,False
27,0,0,0,8,1,0,1,2,True,False
36,0,0,0,3,0,1,1,2,False,True
26,0,0,1,5,1,0,1,2,True,False
33,0,0,0,0,1,0,1,2,True,False
30,0,0,0,9,1,1,1,2,True,True
32,0,0,0,4,1,0,1,2,True,False
63,0,0,0,0,0,0,2,1,True,False
55,0,0,0,0,0,1,2,2,True,True
32,0,0,0,15,0,0,1,2,True,False
38,0,0,2,5,0,0,1,2,True,False
53,0,0,0,19,0,1,2,2,True,True
26,0,0,2,6,0,1,1,1,True,True
33,0,0,0,4,1,1,1,1,False,True
24,0,0,0,1,1,1,0,1,True,True
34,2,1,3,21,1,0,1,2,True,False
29,0,0,0,0,0,1,1,1,True,True
21,0,0,0,2,0,0,0,2,False,False
51,0,0,0,2,0,0,2,1,True,False
29,0,0,0,2,1,1,1,1,True,True
25,0,0,0,0,0,0,1,2,True,False
51,0,0,0,7,0,0,2,2,False,False
28,0,0,0,8,0,1,1,2,True,True
36,0,0,0,22,0,0,1,1,True,False
